Example0,94,20
Example1,95,20
Example2,53,20
Example3,16,20
Example4,43,20
Example5,16,20
Example6,79,20
Example7,63,20
Example8,0,20
Example9,90,20
Example10,78,20
Example11,45,20
Example12,23,20
Example13,58,20
Example14,65,20
Example15,14,20
Example16,78,20
Example17,56,20
Example18,51,20
Example19,12,20
Example20,39,20
Example21,28,20
Example22,5,20
Example23,94,20
Example24,12,20
Example25,93,20
Example26,25,20
Example27,21,20
Example28,3,20
Example29,42,20
Example30,85,20
Example31,80,20
Example32,27,20
Example33,100,20
Example34,16,20
Example35,9,20
Example36,15,20
Example37,17,20
Example38,74,20
Example39,72,20
Example40,70,20
Example41,94,20
Example42,3,20
Example43,8,20
Example44,58,20
Example45,15,20
Example46,0,20
Example47,87,20
Example48,29,20
Example49,64,20
Example50,25,20
Example51,95,20
Example52,73,20
Example53,34,20
Example54,97,20
Example55,34,20
Example56,12,20
Example57,30,20
Example58,46,20
Example59,91,20
Example60,14,20
Example61,11,20
Example62,58,20
Example63,3,20
Example64,46,20
Example65,72,20
Example66,62,20
Example67,38,20
Example68,46,20
Example69,28,20
Example70,100,20
Example71,4,20
Example72,78,20
Example73,16,20
Example74,22,20
Example75,19,20
Example76,62,20
Example77,70,20
Example78,92,20
Example79,23,20
Example80,26,20
Example81,44,20
Example82,63,20
Example83,72,20
Example84,91,20
Example85,18,20
Example86,8,20
Example87,10,20
Example88,97,20
Example89,2,20
Example90,48,20
Example91,65,20
Example92,90,20
Example93,58,20
Example94,23,20
Example95,27,20
Example96,4,20
Example97,39,20
Example98,4,20
Example99,62,20
