Example0,75,20
Example1,93,20
Example2,34,20
Example3,76,20
Example4,78,20
Example5,32,20
Example6,81,20
Example7,87,20
Example8,71,20
Example9,8,20
Example10,55,20
Example11,92,20
Example12,60,20
Example13,32,20
Example14,79,20
Example15,44,20
Example16,98,20
Example17,94,20
Example18,49,20
Example19,25,20
Example20,94,20
Example21,12,20
Example22,62,20
Example23,64,20
Example24,19,20
Example25,3,20
Example26,75,20
Example27,64,20
Example28,16,20
Example29,40,20
Example30,31,20
Example31,56,20
Example32,9,20
Example33,77,20
Example34,62,20
Example35,79,20
Example36,75,20
Example37,5,20
Example38,30,20
Example39,33,20
Example40,67,20
Example41,93,20
Example42,13,20
Example43,70,20
Example44,50,20
Example45,71,20
Example46,50,20
Example47,37,20
Example48,66,20
Example49,10,20
Example50,94,20
Example51,4,20
Example52,28,20
Example53,86,20
Example54,60,20
Example55,39,20
Example56,23,20
Example57,96,20
Example58,78,20
Example59,8,20
Example60,27,20
Example61,26,20
Example62,33,20
Example63,31,20
Example64,29,20
Example65,80,20
Example66,44,20
Example67,38,20
Example68,36,20
Example69,9,20
Example70,29,20
Example71,78,20
Example72,72,20
Example73,48,20
Example74,30,20
Example75,34,20
Example76,77,20
Example77,25,20
Example78,96,20
Example79,48,20
Example80,26,20
Example81,100,20
Example82,83,20
Example83,54,20
Example84,59,20
Example85,61,20
Example86,28,20
Example87,1,20
Example88,12,20
Example89,77,20
Example90,17,20
Example91,1,20
Example92,15,20
Example93,18,20
Example94,51,20
Example95,60,20
Example96,1,20
Example97,17,20
Example98,33,20
Example99,71,20
