Example0,44,20
Example1,46,20
Example2,15,20
Example3,9,20
Example4,16,20
Example5,65,20
Example6,10,20
Example7,16,20
Example8,87,20
Example9,55,20
Example10,99,20
Example11,20,20
Example12,28,20
Example13,2,20
Example14,76,20
Example15,50,20
Example16,55,20
Example17,59,20
Example18,74,20
Example19,72,20
Example20,12,20
Example21,28,20
Example22,68,20
Example23,27,20
Example24,66,20
Example25,67,20
Example26,3,20
Example27,37,20
Example28,31,20
Example29,65,20
Example30,84,20
Example31,30,20
Example32,74,20
Example33,81,20
Example34,2,20
Example35,82,20
Example36,53,20
Example37,75,20
Example38,74,20
Example39,62,20
Example40,29,20
Example41,32,20
Example42,96,20
Example43,25,20
Example44,12,20
Example45,28,20
Example46,51,20
Example47,41,20
Example48,54,20
Example49,37,20
Example50,26,20
Example51,12,20
Example52,72,20
Example53,1,20
Example54,58,20
Example55,87,20
Example56,37,20
Example57,4,20
Example58,92,20
Example59,7,20
Example60,93,20
Example61,13,20
Example62,88,20
Example63,64,20
Example64,38,20
Example65,9,20
Example66,61,20
Example67,6,20
Example68,37,20
Example69,21,20
Example70,70,20
Example71,56,20
Example72,41,20
Example73,16,20
Example74,0,20
Example75,62,20
Example76,69,20
Example77,17,20
Example78,29,20
Example79,75,20
Example80,45,20
Example81,68,20
Example82,25,20
Example83,51,20
Example84,49,20
Example85,43,20
Example86,16,20
Example87,72,20
Example88,95,20
Example89,37,20
Example90,9,20
Example91,0,20
Example92,62,20
Example93,94,20
Example94,99,20
Example95,98,20
Example96,12,20
Example97,56,20
Example98,52,20
Example99,61,20
